URL	Status
monopolium.ru	200
movies-online.monopolium.ru	403
new-publicity.info	200
photomagic.info	200
smschat.new-publicity.info	200
stroitelnyjforum.vrnnedv.ru	200
vrnnedv.ru	301
webstudiy.ru	200
clickbux.ru	200
games-office.ru	200
kayros-shop.ru	200
komp-omsk.ru	200
marshrooty.ru	200
mirgood.ru	200
murmiau.ru	200
prikoliz.ru	200
trigontennis.ru	200
geoon.ru	200
samplan.ru	200
sevox.ru	200
surgooch.ru	200
telbe.ru	403
zub8.ru	200
зубмудрости.рф	200
unicorn-svet.ru	200
apple-gadget.ru	301
designag.ru	301
giftempire.ru	200
hotebcevo.ru	200
kengurinoff.net	0
kengurinoff.ru	200
kingbeauty.ru	200
partner.designag.ru	200
s-discount.ru	0
spares.designag.ru	200
superkoleso.ru	301
test.designag.ru	200
imenadomenov.ru	200
27pk.khabbandy.ru	200
gb.khabbandy.ru	200
khabbandy.ru	200
test.khabbandy.ru	200
1cjob.ru	200
burykin.ru	401
doskaslov.ru	200
logmat.ru	200
mnogokoft.ru	401
afexpertiza.org.ru	0
belarus-td.ru	200
ds-dream-art.com	200
euro-brok.ru	0
gruzovik-izh.ru	301
hotel-telecom.ru	301
izh-holod.ru	301
izh-pti.ru	301
izhcity.com	0
neva-mebel-spb.ru	200
op-irbis.ru	200
potcontrol.ru	200
powerbox18.ru	200
roskom.izhcity.com	0
svyazist-izh.ru	200
udmkom.ru	0
zdanie.biz	301
ижмаркет.рф	200
acetilen.ru	301
dunyasha.ru	301
gas-technology.ru	301
gruzovik60.ru	200
pet-plastik.ru	200
pskovcargo.ru	301
taksi-pskov.ru	0
telepizza-spb.ru	301
bike.veloradar.ru	200
box-master.ru	200
comptrader.ru	0
dbo.su	301
infozel.ru	200
iterio.ru	200
master-okonniy.ru	200
metal-line.ru	301
myavto.org	200
rstlaw.ru	200
satelit.su	200
sitasiempre.com	403
ttt.infozel.ru	200
zdorovie-okoshki.ru	200
1klass.vzoneru.ru	301
gamesfm.ru	301
logomiry.ru	301
vzoneru.ru	301
wwbiz.ru	301
a3us.ru	200
clean-touch.ru	200
e-print.su	200
ecoline-perm.ru	200
kizel-toplivo.ru	0
kopelnikov.ru	0
perm-montag.ru	0
uk-pozitiv.ru	200
unros.ru	0
vkv-perm.ru	200
bm-it.ru	403
beta.happy-women.ru	200
expertstrahovanie.ru	0
happy-women.ru	301
bizdaily.ru	200
brauzery.ru	200
bryuncev.ru	200
bryuntsev.ru	0
cabinet.reklama-doublev.ru	200
car2me.ru	0
e-plotter.ru	200
etiketka-doublev.ru	200
folga-doublev.ru	200
kotteji.ru	200
mir-bumagi.ru	200
pdd-online.ru	200
pechat-katalogov.ru	200
pereplet-doublev.ru	200
poligraf-manager.ru	0
pro-bablo.ru	200
reklama-doublev.ru	200
rv-24.ru	200
seoblogi.ru	200
seoshneg.ru	200
smi-smi.ru	200
svprint.org	0
test-tizera.smi-smi.ru	200
upakovka-doublev.ru	200
vodoslivy.ru	0
vyvodi.ru	200
orangewood.ru	200
test.orangewood.ru	500
nav-admin.ru	0
www.nav-admin.ru	0
лидер.su	200
6059648.ru	0
besedki-msk.ru	200
businesscafe.su	0
dmitrovfermer.ru	0
droid-pad.ru	0
iosfaq.ru	0
krasotamax.ru	0
omegov.com	0
notarmos.ru	301
ast-gefest.ru	301
posvadbam.ru	200
project-5.ru	403
hotelart-kazan.ru	302
lskazan.ru	403
vpk-kazan.ru	0
dedmoroz-domoy.ru	200
ragoodwin.ru	200
ravavilon.ru	200
sociotip.com	200
avto-line63.ru	200
home.web-lambor.ru	200
kreditgarant.ru	0
test.web-lambor.ru	200
unp-center.ru	200
web-lambor.ru	200
